Date,HDFC Bank,ICICI Bank,Axis Bank,SBIN,Kotak Bank
2014,428,286,408,257,532
2014,422,285,405,262,524
2014,425,278,398,256,511
2014,429,277,399,256,514
2014,427,282,412,262,523
2014,426,284,417,263,535
2014,428,285,419,260,532
2014,432,285,417,255,532
2014,431,281,419,257,537
2014,423,285,421,257,538
2014,425,281,416,252,539
2014,427,286,416,249,529
2014,429,287,414,251,528
2014,420,289,409,252,529
2014,421,291,405,250,524
2014,417,283,397,246,519
2014,420,280,399,251,520
2014,421,274,398,250,527
2014,422,275,399,251,522
2014,415,280,403,252,515
2014,409,281,399,247,509
2014,411,281,394,241,500
2014,415,281,398,244,490
2014,412,278,395,242,483
2014,405,269,378,236,477
2014,403,264,374,237,479
2014,396,266,382,243,482
2014,397,262,377,241,475
2014,405,261,371,242,466
2014,404,263,381,244,470
2014,409,263,383,243,466
2014,406,270,393,247,469
2014,407,271,391,246,469
2014,416,268,387,244,463
2014,418,268,392,244,477
2014,414,271,402,247,487
2014,417,264,395,249,471
2014,420,268,397,250,472
2014,417,274,399,256,469
2014,419,274,400,254,466
2014,413,270,403,252,475
2014,415,270,405,252,471
2014,415,269,399,256,468
2014,417,264,391,260,457
2014,412,266,393,257,443
2014,408,254,380,252,436
2014,405,244,369,241,428
2014,411,247,363,243,429
2014,414,253,372,255,433
2014,414,255,375,258,432
2014,419,257,378,258,436
2014,427,264,385,268,435
2014,417,266,387,270,441
2014,419,264,385,270,446
2014,411,264,385,270,447
2014,410,261,384,268,442
2014,407,258,384,269,442
2014,405,252,382,264,433
2014,411,255,386,265,433
2014,414,258,383,269,442
2014,410,262,385,266,440
2014,410,257,377,260,448
2014,412,254,373,258,465
2014,417,257,368,261,462
2014,422,258,370,264,480
2014,419,264,368,265,469
2014,417,257,355,258,465
2014,419,260,364,261,458
2014,409,265,381,270,467
2014,407,267,388,270,464
2014,409,269,387,267,450
2014,407,271,393,271,450
2014,402,270,395,274,451
2014,407,266,389,270,434
2014,411,267,385,268,431
2014,409,265,380,265,437
2014,395,266,380,264,443
2014,404,258,367,254,434
2014,411,261,373,260,430
2014,402,265,372,261,429
2014,398,263,370,263,435
2014,394,264,375,270,431
2014,400,266,373,275,439
2014,404,264,368,251,447
2014,407,262,363,246,448
2014,405,264,371,253,452
2014,401,267,372,257,459
2014,393,266,351,242,453
2014,387,254,333,228,435
2014,393,256,327,228,430
2014,395,255,330,228,431
2014,378,254,329,224,425
2014,358,251,326,217,425
2014,357,234,311,209,406
2014,359,231,308,208,405
2014,358,232,307,205,403
2014,358,228,310,204,404
2014,360,228,306,205,401
2014,357,226,303,208,401
2014,362,230,306,207,404
2014,362,232,306,211,412
2014,366,231,307,209,404
2014,363,236,304,207,411
2014,357,235,300,205,401
2014,359,233,301,207,401
2014,362,230,293,202,400
2014,361,222,286,196,392
2014,368,222,289,196,395
2014,369,225,299,199,403
2014,370,227,301,203,402
2014,362,229,297,199,392
2014,362,220,284,192,385
2014,364,224,286,190,378
2014,365,224,287,190,380
2014,368,226,293,193,385
2014,374,223,294,189,382
2014,372,226,292,192,391
2014,373,229,292,190,389
2014,372,229,286,184,386
2014,374,228,286,177,386
2014,374,228,280,174,386
2014,365,226,282,173,383
2014,366,218,278,170,371
2014,364,218,279,170,372
2014,368,218,271,168,374
2014,366,220,277,171,381
2014,365,219,270,170,383
2014,370,221,271,165,378
2014,362,222,276,165,382
2014,362,220,280,165,372
2014,366,218,284,167,372
2014,355,217,285,169,376
2014,337,219,281,165,356
2014,334,206,266,158,344
2014,335,200,262,158,340
2014,332,194,259,155,338
2014,334,187,251,152,335
2014,338,190,253,153,342
2014,335,188,248,152,343
2014,335,187,247,151,338
2014,331,188,248,151,339
2014,331,186,239,150,336
2014,334,183,232,148,335
2014,329,187,233,151,343
2014,324,189,233,150,340
2014,320,183,223,147,325
2014,316,180,221,148,323
2014,322,179,220,150,318
2014,322,182,224,153,325
2014,321,176,224,152,324
2014,323,175,224,151,324
2014,323,175,225,153,329
2014,318,174,221,150,330
2014,315,176,225,152,334
2014,313,176,224,152,333
2014,314,175,225,149,327
2014,315,180,225,152,329
2014,322,177,222,152,325
2014,322,182,228,157,332
2014,324,185,224,160,330
2014,336,184,232,159,329
2014,339,192,241,162,342
2014,338,196,243,166,353
2014,337,198,238,165,355
2014,334,196,238,166,353
