Date,TCS,Infosys,HCL,Wirpo
2014,1262,439,386,206
2014,1263,433,389,206
2014,1258,418,379,201
2014,1290,421,389,204
2014,1298,422,399,207
2014,1295,421,404,209
2014,1303,419,396,207
2014,1298,423,396,216
2014,1293,419,386,214
2014,1266,404,382,210
2014,1232,400,377,204
2014,1221,406,375,205
2014,1191,405,367,202
2014,1201,404,367,201
2014,1200,403,366,201
2014,1213,403,362,202
2014,1197,416,375,207
2014,1176,412,368,204
2014,1199,414,368,204
2014,1225,418,370,206
2014,1244,418,377,209
2014,1205,406,370,205
2014,1209,401,367,208
2014,1201,402,370,203
2014,1195,403,374,202
2014,1213,407,375,205
2014,1200,403,370,205
2014,1154,398,359,201
2014,1155,401,355,198
2014,1155,400,354,199
2014,1134,404,355,199
2014,1146,415,361,201
2014,1138,414,365,201
2014,1114,405,359,199
2014,1140,406,364,201
2014,1135,406,356,201
2014,1107,398,360,199
2014,1119,397,352,200
2014,1103,399,351,198
2014,1079,384,350,197
2014,1057,373,342,192
2014,1042,375,332,191
2014,1052,380,333,188
2014,1045,373,327,185
2014,1064,377,337,185
2014,1065,374,346,187
2014,1071,367,355,190
2014,1080,366,350,187
2014,1075,397,360,193
2014,1066,392,346,191
2014,1077,387,347,190
2014,1064,384,335,184
2014,1056,389,331,181
2014,1041,395,334,185
2014,1034,390,327,185
2014,1018,377,327,181
2014,1080,397,341,189
2014,1097,409,351,194
2014,1108,407,353,197
2014,1105,408,358,198
2014,1080,397,349,192
2014,1080,389,343,193
2014,1081,383,335,192
2014,1083,383,330,190
2014,1099,396,346,193
2014,1107,397,345,195
2014,1104,402,356,198
2014,1095,398,351,196
2014,1097,397,354,197
2014,1096,397,355,199
2014,1103,397,362,195
2014,1107,397,360,197
2014,1111,394,363,199
2014,1111,398,360,205
2014,1111,399,356,220
2014,1098,395,353,215
2014,1126,407,356,221
2014,1082,404,350,213
2014,1063,400,339,210
2014,1070,407,345,208
2014,1077,412,352,209
2014,1069,415,349,208
2014,1083,417,356,210
2014,1086,415,356,212
2014,1088,414,355,210
2014,1067,410,348,204
2014,1051,408,351,207
2014,1047,404,347,208
2014,1047,406,349,205
2014,1073,407,349,206
2014,1076,409,354,211
2014,1064,412,360,214
2014,1064,413,357,213
2014,1054,413,352,207
2014,1020,409,351,204
2014,1061,419,353,203
2014,1070,424,354,205
2014,1075,420,365,211
2014,1090,459,365,213
2014,1076,459,364,210
2014,1071,459,360,209
2014,1114,468,372,212
2014,1120,479,373,219
2014,1126,478,366,221
2014,1120,475,370,221
2014,1120,475,376,220
2014,1138,478,394,224
2014,1091,476,393,226
2014,1094,473,387,224
2014,1089,469,383,217
2014,1103,469,385,214
2014,1095,464,368,212
2014,1099,469,374,212
2014,1083,460,372,209
2014,1083,457,376,210
2014,1084,456,374,211
2014,1067,448,372,208
2014,1053,450,373,211
2014,1051,450,368,211
2014,1047,447,354,211
2014,1072,446,350,211
2014,1088,445,352,213
2014,1097,448,348,210
2014,1076,445,350,208
2014,1097,454,363,212
2014,1121,463,366,216
2014,1109,463,359,214
2014,1105,465,356,214
2014,1106,459,353,213
2014,1115,467,356,214
2014,1124,470,353,215
2014,1126,474,353,217
2014,1137,471,361,217
2014,1140,470,360,214
2014,1169,469,358,215
2014,1107,466,345,207
2014,1175,466,348,214
2014,1177,464,333,210
2014,1163,461,330,208
2014,1184,458,336,211
2014,1140,444,325,208
2014,1121,431,321,203
2014,1116,429,312,205
2014,1103,432,314,206
2014,1120,440,313,209
2014,1111,446,315,209
2014,1084,435,313,207
2014,1077,434,315,207
2015,1218,553,428,210
2015,1209,543,420,209
2015,1228,552,427,212
2015,1231,552,434,211
2015,1217,548,430,209
2015,1213,550,432,209
2015,1203,542,425,208
2015,1223,552,428,208
2015,1208,542,423,208
2015,1220,554,430,209
2015,1204,548,424,208
2015,1188,539,423,210
2015,1189,535,420,213
2015,1193,526,420,212
2015,1192,524,423,212
2015,1184,514,422,212
2015,1165,522,429,213
2015,1160,523,421,216
2015,1164,525,418,213
2015,1175,529,426,215
